Ticker,Company,Margin of Safety,Volatility 1+AC0-Year,Volatility 3+AC0-Year,Earnings Yield,P/E,Forward P/E,EPS Next Year Chg (Est.+ACU-),PEG Forward,PEG Trailing,EV / EBITDA,P/CF,Price / FCF,Price / Book,P/TB,Price / Sales
ACLS,Axcelis Technologies,+AC0-5+ACU-,0.51,0.48,5.0+ACU-,20.2,19.1,3.1+ACU-,2.3,0.8,12.5,19.9,22.1,2.6,2.6,3.2
AMPH,Amphastar Pharma,16+ACU-,0.41,0.41,8.3+ACU-,12,7.4,5.6+ACU-,0.3,0.2,7.3,8.8,12.1,1.6,6.1,1.9
AMWL,American Well,+AC0- ,0.71,0.79,+AC0-184.4+ACU-,+AC0- ,+AC0- ,+AC0- ,+AC0- ,+AC0- ,1.5,+AC0- ,+AC0- ,0.3,0.4,0.2
CABO,Cable One,+AC0-2+ACU-,0.78,0.56,+AC0-67.9+ACU-,+AC0- ,3.3,83.9+ACU-,0.1,+AC0- ,26.1,1.2,2.3,0.5,+AC0- ,0.5
CCS,Century Communities,3+ACU-,0.39,0.37,11.5+ACU-,8.7,9.3,20.1+ACU-,0.7,1.4,10.1,7.7,10.1,0.7,0.7,0.5
CNC,Centene,+AC0-22+ACU-,0.65,0.44,+AC0-30.2+ACU-,+AC0- ,11.9,52.0+ACU-,0.5,+AC0- ,+AC0-5.4,4.3,5.2,0.8,3.3,0.1
DFIN,Donnelley Financial Solns,40+ACU-,0.48,0.38,2.4+ACU-,41.7,10.6,10.0+ACU-,1.9,2.3,11.5,8.4,13.4,2.9,+AC0- ,1.8
DIT,Amcon Distributing,12+ACU-,0.55,0.51,0.8+ACU-,126.5,+AC0- ,+AC0- ,+AC0- ,+AC0- ,11.4,3.9,7.5,0.7,0.7,0
EBF,Ennis,11+ACU-,0.22,0.21,9.6+ACU-,10.4,+AC0- ,+AC0- ,0.2,1.4,6.2,8.9,10,1.4,2.8,1.1
EE,Excelerate Energy,28+ACU-,0.38,0.39,5.3+ACU-,19,14.1,49.9+ACU-,+AC0- ,+AC0- ,4.6,1.9,3.7,1.3,12.8,0.7
